DateAdded,IoC,Type
9/29/2022,172.93.201.253,ip
9/29/2022,137.184.15.189,ip
9/29/2022,44.238.74.84,ip
9/29/2022,olidhealth.com,domainname
9/29/2022,hurricanepub.com,domainname
9/29/2022,turnscor.com,domainname
9/29/2022,elite4print.com,domainname
9/29/2022,cats.runtimerec.com,domainname
9/29/2022,recruitment.raystechserv.com,domainname
9/29/2022,Amazon-KiTTY.exe,filename
9/29/2022,Amazon_IT_Assessment.iso,filename
9/29/2022,IT_Assessment.iso,filename
9/29/2022,amazon_assessment_test.iso,filename
9/29/2022,SecurePDF.exe,filename
9/29/2022,C:\ProgramData\Comms\colorui.dll,filepath
9/29/2022,%APPDATA%\KiTTY\mscoree.dll,filepath
9/29/2022,N:\2.MyDevelopment\3.Tools_Development\4.TightVNCCustomize\Munna_Customize\tightvnc\x64\\Release\tvnviewer.pdb,filepath
9/29/2022,"c:\windows\system32\schtasks.exe/CREATE/SCDAILY/MO1/ST10:30/TR""C:\Windows\System32\cmd.exe/cstart/bC:\ProgramData\PackageColor\colorcpl.exe0CE1241A44557AA438F27BC6D4ACA246""/TNPackageColor/F",filepath
9/29/2022,37e30dc2faaabaf93f0539ffbde032461ab63a2c242fbe6e1f60a22344c8a334,sha256
9/29/2022,14f736b7df6a35c29eaed82a47fc0a248684960aa8f2222b5ab8cdad28ead745,sha256
9/29/2022,1492fa04475b89484b5b0a02e6ba3e52544c264c294b57210404b96b65e63266,sha256
9/29/2022,aaad412aeb0f98c2c27bb817682f08673902a48b65213091534f96fe6f5494d9,sha256
9/29/2022,63cddab76e9d63e3cbea421b607342735d924e462c40f3917b1b5fbdf8d4a20d,sha256
9/29/2022,e1ecf0f7bd90553baaa83dcdc177e1d2b20d6ee5520f5d9b44cdf59389432b10,sha256
9/29/2022,c5a470cdf6f57125a8671f6b8843149cc78ccbc1a7bc615f34b23d9f241312bf,sha256
9/29/2022,71beb4252e93291c7b14dfcb4cbb5d58144a76181fbe4aab3592121a3dbd9c55,sha256
9/29/2022,"Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTML,likeGecko)Chrome/102.0.5005.63Safari/537.36Edg/100.0.1185.39",useragent
9/29/2022,Mozilla/4.0(compatible;MSIE7.0;WindowsNT6.1;WOW64;Trident/4.0;SLCC2;.NETCLR2.0.50727;.NETCLR3.5.30729;.NETCLR3.0.30729;InfoPath.3;.NET4.0C;.NET4.0E),useragent
7/14/2022,99fc54786a72f32fd44c7391c2171ca31e72ca52725c68e2dde94d04c286fccd,sha256
7/14/2022,f8fc2445a9814ca8cf48a979bff7f182d6538f4d1ff438cf259268e8b4b76f86,sha256
7/14/2022,bea866b327a2dc2aa104b7ad7307008919c06620771ec3715a059e675d9f40af,sha256
7/14/2022,193.56.29.123,IP
7/14/2022,H0lyGh0st@mail2tor[.]com,Email
7/14/2022,C:\FOR_DECRYPT.html,FilePath
7/14/2022,cmd.exe/Q/cschtasks/create/tnlockertask/tr[File]/scminute/mo1/F/rusystem1>\\127.0.0.1\ADMIN$\__[randomnumber]2>&1,CommandLine
3/16/2023,codevexillium.org,domainname
3/16/2023,angeldonationblog.com,domainname
3/16/2023,investbooking.de,domainname
3/16/2023,krakenfolio.com,domainname
3/16/2023,incomeupdate.com,domainname
3/16/2023,zupertech.com,domainname
3/16/2023,databasegalore.com,domainname
3/16/2023,panhardware.com,domainname
3/16/2023,avsvmcloud.com,domainname
3/16/2023,digitalcollege.org,domainname
3/16/2023,freescanonline.com,domainname
3/16/2023,deftsecurity.com,domainname
3/16/2023,thedoccloud.com,domainname
3/16/2023,virtualdataserver.com,domainname
3/16/2023,lcomputers.com,domainname
3/16/2023,webcodez.com,domainname
3/16/2023,globalnetworkissues.com,domainname
3/16/2023,kubecloud.com,domainname
3/16/2023,seobundlekit.com,domainname
3/16/2023,solartrackingsystem.net,domainname
3/16/2023,virtualwebdata.com,domainname
3/16/2023,yahoo-verification.org,domainname
3/16/2023,support-servics.com,domainname
3/16/2023,verification-live.com,domainname
3/16/2023,com-mailbox.com,domainname
3/16/2023,com-myaccuants.com,domainname
3/16/2023,notification-accountservice.com,domainname
3/16/2023,accounts-web-mail.com,domainname
3/16/2023,customer-certificate.com,domainname
3/16/2023,session-users-activities.com,domainname
3/16/2023,user-profile-credentials.com,domainname
3/16/2023,verify-linke.com,domainname
3/16/2023,support-servics.net,domainname
3/16/2023,verify-linkedin.net,domainname
3/16/2023,yahoo-verification.net,domainname
3/16/2023,yahoo-verify.net,domainname
3/16/2023,outlook-verify.net,domainname
3/16/2023,com-users.net,domainname
3/16/2023,verifiy-account.net,domainname
3/16/2023,te1egram.net,domainname
3/16/2023,account-verifiy.net,domainname
3/16/2023,myaccount-services.net,domainname
3/16/2023,com-identifier-servicelog.name,domainname
3/16/2023,microsoft-update.bid,domainname
3/16/2023,outlook-livecom.bid,domainname
3/16/2023,update-microsoft.bid,domainname
3/16/2023,documentsfilesharing.cloud,domainname
3/16/2023,com-microsoftonline.club,domainname
3/16/2023,confirm-session-identifier.info,domainname
3/16/2023,session-management.info,domainname
3/16/2023,confirmation-service.info,domainname
3/16/2023,document-share.info,domainname
3/16/2023,broadcast-news.info,domainname
3/16/2023,customize-identity.info,domainname
3/16/2023,webemail.info,domainname
3/16/2023,com-identifier-servicelog.info,domainname
3/16/2023,documentsharing.info,domainname
3/16/2023,notification-accountservice.info,domainname
3/16/2023,identifier-activities.info,domainname
3/16/2023,documentofficupdate.info,domainname
3/16/2023,recoveryusercustomer.info,domainname
3/16/2023,serverbroadcast.info,domainname
3/16/2023,account-profile-users.info,domainname
3/16/2023,account-service-management.info,domainname
3/16/2023,accounts-manager.info,domainname
3/16/2023,activity-confirmation-service.info,domainname
3/16/2023,com-accountidentifier.info,domainname
3/16/2023,com-privacy-help.info,domainname
3/16/2023,com-sessionidentifier.info,domainname
3/16/2023,com-useraccount.info,domainname
3/16/2023,confirmation-users-service.info,domainname
3/16/2023,confirm-identity.info,domainname
3/16/2023,confirm-session-identification.info,domainname
3/16/2023,continue-session-identifier.info,domainname
3/16/2023,customer-recovery.info,domainname
3/16/2023,customers-activities.info,domainname
3/16/2023,elitemaildelivery.info,domainname
3/16/2023,email-delivery.info,domainname
3/16/2023,identify-user-session.info,domainname
3/16/2023,message-serviceprovider.info,domainname
3/16/2023,notificationapp.info,domainname
3/16/2023,notification-manager.info,domainname
3/16/2023,recognized-activity.info,domainname
3/16/2023,recover-customers-service.info,domainname
3/16/2023,recovery-session-change.info,domainname
3/16/2023,service-recovery-session.info,domainname
3/16/2023,service-session-continue.info,domainname
3/16/2023,session-mail-customers.info,domainname
3/16/2023,session-managment.info,domainname
3/16/2023,session-verify-user.info,domainname
3/16/2023,shop-sellwear.info,domainname
3/16/2023,supportmailservice.info,domainname
3/16/2023,terms-service-notification.info,domainname
3/16/2023,user-activity-issues.info,domainname
3/16/2023,useridentity-confirm.info,domainname
3/16/2023,users-issue-services.info,domainname
3/16/2023,verify-user-session.info,domainname
3/16/2023,login-gov.info,domainname
3/16/2023,notification-signal-agnecy.info,domainname
3/16/2023,notifications-center.info,domainname
3/16/2023,identifier-services-sessions.info,domainname
3/16/2023,customers-manager.info,domainname
3/16/2023,session-manager.info,domainname
3/16/2023,customer-managers.info,domainname
3/16/2023,confirmation-recovery-options.info,domainname
3/16/2023,service-session-confirm.info,domainname
3/16/2023,session-recovery-options.info,domainname
3/16/2023,services-session-confirmation.info,domainname
3/16/2023,notification-managers.info,domainname
3/16/2023,activities-services-notification.info,domainname
3/16/2023,activities-recovery-options.info,domainname
3/16/2023,activity-session-recovery.info,domainname
3/16/2023,customers-services.info,domainname
3/16/2023,sessions-notification.info,domainname
3/16/2023,download-teamspeak.info,domainname
3/16/2023,services-issue-notification.info,domainname
3/16/2023,microsoft-upgrade.mobi,domainname
3/16/2023,broadcastnews.pro,domainname
3/16/2023,mobile-messengerplus.network,domainname
10/22/2021,231b5517b583de102cde59630c3bf938155d17037162f663874e4662af2481b1,sha256
10/22/2021,da0be762bb785085d36aec80ef1697e25fb15414514768b3bcaf798dd9c9b169,sha256
10/22/2021,568392bd815de9b677788addfc4fa4b0a5847464b9208d2093a8623bbecd81e6,sha256
10/22/2021,Windows\\SystemResources\\Windows.Data.TimeZones\\pris\\Windows.Data.TimeZones.zh-PH.pri,FilePath
10/22/2021,Windows\\ADFS\\version.dll,FilePath
10/22/2021,/adfs/services/trust/2005/samlmixed/upload,URI1
10/22/2021,/adfs/portal/images/theme/light01/profile.webp,URI2
10/22/2021,/adfs/portal/images/theme/light01/logo.webp,URI2
10/22/2021,/adfs/portal/images/theme/light01/background.webp,URI2
3/16/2023,asyspy256.ddns.net,domainname
3/16/2023,hotkillmail9sddcc.ddns.net,domainname
3/16/2023,rosaf112.ddns.net,domainname
3/16/2023,cvdfhjh1231.myftp.biz,domainname
3/16/2023,sz2016rose.ddns.net,domainname
3/16/2023,dffwescwer4325.myftp.biz,domainname
3/16/2023,cvdfhjh1231.ddns.net,domainname
3/16/2023,beesweiserdog.com,domainname
3/16/2023,bluehostfit.com,domainname
3/16/2023,business-toys.com,domainname
3/16/2023,cleanskycloud.com,domainname
3/16/2023,cumberbat.com,domainname
3/16/2023,czreadsecurity.com,domainname
3/16/2023,dgtresorgouv.com,domainname
3/16/2023,dimediamikedask.com,domainname
3/16/2023,diresitioscon.com,domainname
3/16/2023,elcolectador.com,domainname
3/16/2023,elperuanos.org,domainname
3/16/2023,eprotectioneu.com,domainname
3/16/2023,fheacor.com,domainname
3/16/2023,followthewaterdata.com,domainname
3/16/2023,francevrteepress.com,domainname
3/16/2023,futtuhy.com,domainname
3/16/2023,gardienweb.com,domainname
3/16/2023,heimflugaustr.com,domainname
3/16/2023,ivpsers.com,domainname
3/16/2023,jkeducation.org,domainname
3/16/2023,micrlmb.com,domainname
3/16/2023,muthesck.com,domainname
3/16/2023,netscalertech.com,domainname
3/16/2023,newgoldbalmap.com,domainname
3/16/2023,news-laestrella.com,domainname
3/16/2023,noticialif.com,domainname
3/16/2023,opentanzanfoundation.com,domainname
3/16/2023,optonlinepress.com,domainname
3/16/2023,palazzochigi.com,domainname
3/16/2023,pandemicacre.com,domainname
3/16/2023,papa-ser.com,domainname
3/16/2023,pekematclouds.com,domainname
3/16/2023,pipcake.com,domainname
3/16/2023,popularservicenter.com,domainname
3/16/2023,projectsyndic.com,domainname
3/16/2023,qsadtv.com,domainname
3/16/2023,sankreal.com,domainname
3/16/2023,scielope.com,domainname
3/16/2023,seoamdcopywriting.com,domainname
3/16/2023,slidenshare.com,domainname
3/16/2023,somoswake.com,domainname
3/16/2023,squarespacenow.com,domainname
3/16/2023,subapostilla.com,domainname
3/16/2023,suzukicycles.net,domainname
3/16/2023,tatanotakeeps.com,domainname
3/16/2023,tijuanazxc.com,domainname
3/16/2023,transactioninfo.net,domainname
3/16/2023,eurolabspro.com,domainname
3/16/2023,adelluminate.com,domainname
3/16/2023,headhunterblue.com,domainname
3/16/2023,primenuesty.com,domainname
3/16/2023,154.223.45.38,ip
3/16/2023,185.141.207.140,ip
3/16/2023,185.234.73.19,ip
3/16/2023,216.245.210.106,ip
3/16/2023,51.91.48.210,ip
3/16/2023,46.255.230.229,ip
3/16/2023,1.34.18.93,ip
3/16/2023,100.33.165.248,ip
3/16/2023,100.33.165.28,ip
3/16/2023,101.108.162.177,ip
3/16/2023,101.108.167.251,ip
3/16/2023,101.108.248.161,ip
3/16/2023,103.124.143.61,ip
3/16/2023,103.164.191.36,ip
3/16/2023,103.192.116.183,ip
3/16/2023,103.99.110.226,ip
3/16/2023,104.12.62.156,ip
3/16/2023,107.145.79.16,ip
3/16/2023,108.73.191.154,ip
3/16/2023,109.177.110.140,ip
3/16/2023,109.221.187.58,ip
3/16/2023,109.236.81.182,ip
3/16/2023,109.236.81.188,ip
3/16/2023,109.242.167.129,ip
3/16/2023,109.96.178.72,ip
3/16/2023,112.165.92.68,ip
3/16/2023,112.167.113.231,ip
3/16/2023,112.167.60.33,ip
3/16/2023,112.184.112.96,ip
3/16/2023,113.253.121.199,ip
3/16/2023,114.199.225.193,ip
3/16/2023,114.34.190.191,ip
3/16/2023,115.132.238.119,ip
3/16/2023,115.132.53.193,ip
3/16/2023,115.135.42.216,ip
3/16/2023,115.79.80.84,ip
3/16/2023,116.103.168.90,ip
3/16/2023,116.88.216.196,ip
3/16/2023,117.26.235.164,ip
3/16/2023,117.26.73.133,ip
3/16/2023,118.101.231.80,ip
3/16/2023,118.138.236.140,ip
3/16/2023,118.34.234.26,ip
3/16/2023,118.43.146.92,ip
3/16/2023,119.195.78.32,ip
3/16/2023,119.200.211.210,ip
3/16/2023,119.201.159.113,ip
3/16/2023,119.201.161.130,ip
3/16/2023,119.206.11.136,ip
3/16/2023,120.211.140.116,ip
3/16/2023,120.77.39.85,ip
3/16/2023,121.141.149.197,ip
3/16/2023,121.142.67.225,ip
3/16/2023,121.164.19.172,ip
3/16/2023,121.181.17.231,ip
3/16/2023,121.234.228.126,ip
3/16/2023,124.13.61.89,ip
3/16/2023,125.136.216.1,ip
3/16/2023,13.58.172.164,ip
3/16/2023,131.100.148.7,ip
3/16/2023,137.184.177.59,ip
3/16/2023,138.199.7.227,ip
3/16/2023,139.60.160.162,ip
3/16/2023,14.36.192.10,ip
3/16/2023,14.46.30.184,ip
3/16/2023,14.49.248.54,ip
3/16/2023,141.95.64.148,ip
3/16/2023,142.255.18.179,ip
3/16/2023,142.93.34.32,ip
3/16/2023,143.198.107.150,ip
3/16/2023,143.244.44.170,ip
3/16/2023,147.135.1.175,ip
3/16/2023,152.250.191.213,ip
3/16/2023,157.245.199.17,ip
3/16/2023,159.203.161.189,ip
3/16/2023,159.203.187.181,ip
3/16/2023,162.255.45.28,ip
3/16/2023,164.52.93.85,ip
3/16/2023,164.52.93.86,ip
3/16/2023,164.52.93.87,ip
3/16/2023,165.22.151.166,ip
3/16/2023,167.250.11.202,ip
3/16/2023,167.58.211.31,ip
3/16/2023,167.60.126.181,ip
3/16/2023,167.60.46.249,ip
3/16/2023,167.86.70.160,ip
3/16/2023,167.99.165.40,ip
3/16/2023,169.150.196.130,ip
3/16/2023,169.150.196.138,ip
3/16/2023,169.150.196.91,ip
3/16/2023,170.210.45.163,ip
3/16/2023,171.234.12.121,ip
3/16/2023,171.250.134.55,ip
3/16/2023,173.212.229.216,ip
3/16/2023,173.53.68.115,ip
3/16/2023,173.54.231.132,ip
3/16/2023,173.77.246.136,ip
3/16/2023,175.140.95.243,ip
3/16/2023,175.145.110.100,ip
3/16/2023,175.145.138.85,ip
3/16/2023,175.197.136.62,ip
3/16/2023,175.197.8.74,ip
3/16/2023,175.199.13.220,ip
3/16/2023,175.209.137.174,ip
3/16/2023,175.211.251.33,ip
3/16/2023,176.103.88.57,ip
3/16/2023,176.177.120.198,ip
3/16/2023,176.205.156.72,ip
